id,Subject,Course,Component,Section,Days,StartTime,EndTime,StartDate,EndDate,Duration,InstructionMode,Building,Room,Instructor,EnrollCap,WaitCap,CombDesc,CombEnrollCap,CourseName,StartTimeInternal,,
37,CSE,215,REC,R06,RECW,1:00 PM,1:53 PM,25-Jan-21,19-May-21,53,In Person,COMPUTER SCI,2114,Pramod Ganapathi,30,10, , ,Foundations of Computer Science,13,,
38,CSE,215,REC,R07,RECM,11:00 AM,11:53 AM,25-Jan-21,19-May-21,53,In Person,COMPUTER SCI,2129,Pramod Ganapathi,30,10, , ,Foundations of Computer Science,11,,
39,CSE,215,REC,R08,RECW,11:00 AM,11:53 AM,25-Jan-21,19-May-21,53,In Person,COMPUTER SCI,2114,Pramod Ganapathi,30,10, , ,Foundations of Computer Science,11,,
40,CSE,215,REC,R09,RECF,9:00 AM,9:53 AM,25-Jan-21,19-May-21,53,In Person,COMPUTER SCI,2114,Pramod Ganapathi,0,0, , ,Foundations of Computer Science,9,,
41,CSE,216,LEC,1,MW,5:30 PM,6:50 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Ritwik Banerjee,180,25, , ,Programming Abstractions,17.5,,
42,CSE,216,REC,R01,RETU,10:00 AM,10:53 AM,25-Jan-21,19-May-21,53,In Person,TBA,115,Ritwik Banerjee,30,10, , ,Programming Abstractions,10,,
43,CSE,216,REC,R02,RETH,10:00 AM,10:53 AM,25-Jan-21,19-May-21,53,In Person,TBA,115,Ritwik Banerjee,30,10, , ,Programming Abstractions,10,,
44,CSE,216,REC,R03,RETU,9:00 AM,9:53 AM,25-Jan-21,19-May-21,53,In Person,TBA,115,Ritwik Banerjee,30,10, , ,Programming Abstractions,9,,
45,CSE,216,REC,R04,RETU,11:00 AM,11:53 AM,25-Jan-21,19-May-21,53,In Person,TBA,115,Ritwik Banerjee,30,10, , ,Programming Abstractions,11,,
46,CSE,216,REC,R05,RETH,11:00 AM,11:53 AM,25-Jan-21,19-May-21,53,In Person,TBA,115,Ritwik Banerjee,30,10, , ,Programming Abstractions,11,,
47,CSE,216,REC,R06,RETU,12:00 PM,12:53 PM,25-Jan-21,19-May-21,53,In Person,TBA,115,Ritwik Banerjee,30,10, , ,Programming Abstractions,12,,
48,CSE,220,LEC,1,TUTH,1:00 PM,2:20 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Joydeep Mitra,180,48, , ,Systems Fundamentals I,13,,
49,CSE,220,REC,R01,RECM,10:00 AM,10:53 AM,25-Jan-21,19-May-21,53,In Person,TBA,115,Joydeep Mitra,30,8, , ,Systems Fundamentals I,10,,
50,CSE,220,REC,R02,RECW,10:00 AM,10:53 AM,25-Jan-21,19-May-21,53,In Person,TBA,115,Joydeep Mitra,30,8, , ,Systems Fundamentals I,10,,
51,CSE,220,REC,R03,RECM,11:00 AM,11:53 AM,25-Jan-21,19-May-21,53,In Person,TBA,115,Joydeep Mitra,30,8, , ,Systems Fundamentals I,11,,
52,CSE,220,REC,R05,RECM,12:00 PM,12:53 PM,25-Jan-21,19-May-21,53,In Person,TBA,115,Joydeep Mitra,30,8, , ,Systems Fundamentals I,12,,
53,CSE,220,REC,R06,RECW,12:00 PM,12:53 PM,25-Jan-21,19-May-21,53,In Person,TBA,115,Joydeep Mitra,30,8, , ,Systems Fundamentals I,12,,
54,CSE,220,REC,R07,RECM,2:30 PM,3:23 PM,25-Jan-21,19-May-21,53,In Person,TBA,115,Joydeep Mitra,30,8, , ,Systems Fundamentals I,14.5,,
55,CSE,300,LEC,1,TUTH,11:30 AM,12:50 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,TBA,35,0,CSE300.01/ISE300.01,35,Technical Communications,11.5,,
56,CSE,300,LEC,2,TUTH,2:30 PM,3:50 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,TBA,35,0,CSE300.02/ISE300.02,35,Technical Communications,14.5,,
57,CSE,300,LEC,3,TUTH,10:00 AM,11:20 AM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,TBA,35,0,CSE300.03/ISE300.03,35,Technical Communications,10,,
58,CSE,300,LEC,4,TUTH,1:00 PM,2:20 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,TBA,35,0,CSE300.04/ISE300.04,35,Technical Communications,13,,
59,CSE,300,LEC,5,TUTH,2:30 PM,3:50 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,TBA,35,0,CSE300.05/ISE300.05,35,Technical Communications,14.5,,
60,CSE,300,LEC,6,MW,8:30 AM,9:50 AM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,TBA,35,0, , ,Technical Communications,8.5,,
61,CSE,303,LEC,1,MWF,12:00 PM,12:53 PM,25-Jan-21,19-May-21,53,In Person,TBA,TBA,Pramod Ganapathi,250,30, , ,Introduction to the Theory of Computation,12,,
62,CSE,306,LEC,1,TUTH,10:00 AM,11:20 AM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Eugene Stark,150,20, , ,Operating Systems,10,,
63,CSE,307,LEC,1,TUTH,4:00 PM,5:20 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Joydeep Mitra,80,15, , ,Principles of Programming Languages,16,,
64,CSE,310,LEC,1,MW,4:00 PM,5:20 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Aruna Balasubramanian,200,50, , ,Computer Networks,16,,
65,CSE,311,LEC,1,TUTH,10:00 AM,11:20 AM,25-Jan-21,19-May-21,80,In Person,COMPUTER SCI,2120,Ahmad Esmaili,25,0,CSE311.01/ISE311.01,75,Systems Administration,10,,
66,CSE,312,LEC,1,MW,2:30 PM,3:50 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Anthony Scarlatos,120,0,CSE312.01/ISE312.01,120,IT Ethics,14.5,,
67,CSE,312,LEC,2,MW,7:00 PM,8:20 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Michael Tashbook,120,0,CSE312.02/ISE312.02,120,IT Ethics,19,,
68,CSE,316,LEC,1,TUTH,10:00 AM,11:20 AM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Richard McKenna,120,20, , ,Fundamentals of Software Development,10,,
69,CSE,320,LEC,1,TUTH,1:00 PM,2:20 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Eugene Stark,250,30, , ,Systems Fundamentals II,13,,
70,CSE,327,LEC,1,TUTH,4:00 PM,5:20 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Dimitrios Samaras,40,10, , ,Fundamentals of Computer Vision,16,,
71,CSE,334,LEC,1,TUTH,11:30 AM,12:50 PM,25-Jan-21,19-May-21,80,In Person,COMPUTER SCI,2205,Anthony Scarlatos,11,0,CSE334.01/ISE334.01,40,Introduction to Multimedia Systems,11.5,,
72,CSE,337,LEC,1,TUTH,5:30 PM,6:50 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Michael Tashbook,100,0,CSE337.01/ISE337.01,100,Scripting Languages,17.5,,
73,CSE,351,LEC,1,TUTH,4:00 PM,5:20 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Praveen Tripathi,100,0, , ,Introduction to Data Science,16,,
74,CSE,352,LEC,1,HTBA,1:00 AM,1:00 AM,25-Jan-21,19-May-21,0,In Person,TBA,TBA,Niranjan Balasubramanian,100,0, , ,Artificial Intelligence,1,,
75,CSE,354,LEC,1,MW,4:00 PM,5:20 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Hansen Schwartz,100,20, , ,Natural Language Processing,16,,
